,blackHoleAccretionRate,blackHoleEddingtonRatio,redshift_x,galaxy_id,blackHoleMass,index,htmid_8,magNorm,redshift_y,M_i,ra,dec,seed,agn_sf_u,agn_sf_g,agn_sf_r,agn_sf_i,agn_sf_z,agn_sf_y,agn_tau_u,agn_tau_g,agn_tau_r,agn_tau_i,agn_tau_z,agn_tau_y
0,1804598.9387652974,0.0006655122660925933,0.26442162470670993,1875061370,123254263.92354304,0,147051,24.67846798070518,0.26442162470670993,-16.56830535685312,52.52629289499003,-27.77585685058966,549883.0,2.042,1.796,1.587,1.446,1.351,1.281,276.3,292.2,308.3,321.0,330.7,338.5
1,658712.8523649658,0.001187629683075587,0.3398576457643998,1875146511,25211135.858256415,1,147174,26.050346583155708,0.3398576457643998,-15.545847194985868,53.01220448714568,-27.68143973705185,5044592.0,1.744,1.535,1.358,1.238,1.157,1.097,165.6,172.2,178.9,184.0,187.9,191.0
2,8716377.084308174,0.0042018816310932525,0.33792861294751964,1875147669,94290842.3325958,2,147048,23.0689612406226,0.33792861294751964,-18.541087509173014,52.66701296117869,-28.012915733198795,9334447.0,0.884,0.7777,0.6879,0.627,0.5858,0.5557,161.9,169.0,176.1,181.6,185.8,189.1
3,1383473.83135693,0.0011123397276388346,0.3815262805729618,1875180096,56534143.83218533,3,147051,25.678563639378375,0.3815262805729618,-16.34796429870504,52.63451430856081,-27.831856312586098,9739517.0,1.439,1.264,1.117,1.017,0.95,0.9007,232.2,243.6,255.1,264.1,270.9,276.3
4,684729.344629472,0.0029722679975219463,0.392776961563877,1875181891,10471485.460083129,4,147048,26.37846044725965,0.392776961563877,-15.713388494093614,52.532438470641374,-28.004631932921967,7332986.0,1.188,1.044,0.9225,0.8401,0.7845,0.7437,697.5,733.1,769.0,797.2,818.5,835.5
5,396179.83859802067,0.0005549844913393184,0.4356774646416055,1875296922,32448067.941988643,5,147174,27.398560665607587,0.4356774646416055,-14.886327258341314,53.01177903490057,-27.554615200211934,969063.0,2.006,1.762,1.556,1.417,1.323,1.254,763.2,801.7,840.4,870.9,893.9,912.3
6,371955.7957749348,0.0009941014601319987,0.4681371878876106,1875302714,17007400.45577284,6,147048,27.546354839161904,0.4681371878876106,-14.896923488557583,52.664873076674844,-27.962359502635476,5152596.0,2.775,2.433,2.145,1.951,1.819,1.723,730.4,765.0,799.8,827.1,847.7,864.1
7,8566141.135936925,0.002946738988108466,0.49489434232976204,1875365010,132135914.71955793,7,147049,24.135538909143214,0.49489434232976204,-18.473656355443445,52.7324632670624,-27.59814505126497,864085.0,1.061,0.9326,0.8239,0.7504,0.7008,0.6644,244.7,254.7,264.7,272.6,278.4,283.1
8,30907485.560105935,0.0016956818900424758,0.49717993062350185,1875368119,828507820.6752276,8,147049,22.817069481086136,0.49717993062350185,-19.800714278137324,52.76748447060587,-27.769664824840778,746307.0,1.105,0.97,0.856,0.7789,0.7268,0.6887,383.8,402.9,422.1,437.2,448.6,457.6
9,729970.3783570641,0.0032046850852821586,0.5384484976589559,1875439151,10353738.623457137,9,147051,26.979741182682886,0.5384484976589559,-15.793592669485381,52.5706756629606,-27.642191602109282,9867463.0,1.367,1.205,1.067,0.9741,0.911,0.8647,183.7,191.8,200.0,206.4,211.2,215.0
